time,speed,throttle,brake,steering,laps
206.33,3.5509463605376595e-40,1.0,0.0,28.110828399658203,0
206.43,3.552661549857993e-40,1.0,0.0,28.109554290771484,0
206.53,3.554376739178327e-40,1.0,0.0,28.108234405517578,0
206.63,3.5560414817539446e-40,1.0,0.0,28.1069393157959,0
206.73,3.557756671074278e-40,1.0,0.0,28.105588912963867,0
206.83,3.559421413649896e-40,1.0,0.0,28.104267120361328,0
206.93,3.5611366029702297e-40,1.0,0.0,28.102888107299805,0
207.03,3.5628013455458474e-40,1.0,0.0,28.101533889770508,0
207.13,3.5644660881214655e-40,1.0,0.0,28.100168228149414,0
207.23,3.566181277441799e-40,1.0,0.0,28.09874725341797,0
207.33,3.5678460200174167e-40,1.0,0.0,28.097354888916016,0
207.43,3.5695612093377502e-40,1.0,0.0,28.095905303955078,0
207.53,3.5712259519133684e-40,1.0,0.0,28.094482421875,0
207.63,3.572941141233702e-40,1.0,0.0,28.09300422668457,0
207.73,3.5746563305540354e-40,1.0,0.0,28.09151268005371,0
207.83,3.5763210731296535e-40,1.0,0.0,28.090051651000977,0
207.94,3.577985815705271e-40,1.0,0.0,28.088577270507812,0
208.04,3.5797010050256047e-40,1.0,0.0,28.087039947509766,0
208.14,3.581365747601223e-40,1.0,0.0,28.085540771484375,0
208.24,3.5830809369215563e-40,1.0,0.0,28.083982467651367,0
208.34,3.584745679497174e-40,1.0,0.0,28.082454681396484,0
208.44,3.5864608688175075e-40,1.0,0.0,28.080869674682617,0
208.54,3.5881256113931257e-40,1.0,0.0,28.079317092895508,0
208.64,3.589840800713459e-40,1.0,0.0,28.077701568603516,0
208.74,3.591505543289077e-40,1.0,0.0,28.076126098632812,0
208.84,3.5932207326094108e-40,1.0,0.0,28.074485778808594,0
208.94,3.5948854751850285e-40,1.0,0.0,28.07288360595703,0
209.04,3.596600664505362e-40,1.0,0.0,28.071218490600586,0
209.14,3.59826540708098e-40,1.0,0.0,28.069589614868164,0
209.24,3.5999805964013136e-40,1.0,0.0,28.067903518676758,0
209.34,3.6016453389769313e-40,1.0,0.0,28.066255569458008,0
209.44,3.603360528297265e-40,0.7932000160217285,0.007843275554478168,28.06462287902832,0
209.54,3.605025270872883e-40,0.16664999723434448,0.15052980184555054,28.063600540161133,0
209.64,3.6067404601932164e-40,0.0,0.3982585370540619,28.063474655151367,0
209.74,3.608405202768834e-40,0.0,0.5942577719688416,28.063474655151367,0
209.84,3.610120392089168e-40,0.0,0.606644868850708,28.063474655151367,0
209.95,3.6118355814095016e-40,0.0,0.5236181616783142,28.063474655151367,0
210.05,3.6135003239851193e-40,0.0,0.4805181920528412,28.063474655151367,0
210.15,3.6151650665607374e-40,0.0,0.4500346779823303,28.063474655151367,0
210.25,3.616880255881071e-40,0.0,0.4026208221912384,28.063474655151367,0
210.35,3.6185449984566886e-40,0.0,0.37523356080055237,28.063474655151367,0
210.45,3.620260187777022e-40,0.0,0.35163307189941406,28.063474655151367,0
210.55,3.6219249303526402e-40,0.0,0.33516666293144226,28.063474655151367,0
210.65,3.6236401196729737e-40,0.0,0.3267931342124939,28.063474655151367,0
210.75,3.6253048622485915e-40,0.0,0.3203931450843811,28.063474655151367,0
210.85,3.6270200515689254e-40,0.0,0.30205219984054565,28.063474655151367,0
210.95,3.628684794144543e-40,0.0,0.2765084207057953,28.063474655151367,0
211.05,3.6303999834648766e-40,0.0,0.2498064935207367,28.063474655151367,0
211.15,3.63211517278521e-40,0.0,0.22577904164791107,28.063474655151367,0
211.25,3.633779915360828e-40,0.0,0.20605769753456116,28.063474655151367,0
211.35,3.6354951046811617e-40,0.0,0.1632765829563141,28.063474655151367,0
211.45,3.6371598472567794e-40,0.03955000638961792,0.09251590073108673,28.063404083251953,0
211.55,3.6388750365771133e-40,0.10765001177787781,0.012317972257733345,28.063133239746094,0
211.65,3.640539779152731e-40,0.22975000739097595,0.0,28.06269073486328,0
211.75,3.6422549684730645e-40,0.27459999918937683,0.0,28.062129974365234,0
211.85,3.6439197110486827e-40,0.2730500102043152,0.0,28.06156349182129,0
211.96,3.645634900369016e-40,0.260699987411499,0.0,28.060993194580078,0
212.06,3.647299642944634e-40,0.24605000019073486,0.0,28.060455322265625,0
212.16,3.6490148322649674e-40,0.20125001668930054,0.0,28.059940338134766,0
212.26,3.6506795748405855e-40,0.15575000643730164,0.0,28.059490203857422,0
212.36,3.652394764160919e-40,0.11620000004768372,0.0,28.05905532836914,0
212.46,3.6540595067365367e-40,0.09000000357627869,0.0,28.05866813659668,0
212.56,3.6557746960568706e-40,0.08415001630783081,0.0,28.058320999145508,0
212.66,3.6574394386324883e-40,0.08305001258850098,0.0,28.057998657226562,0
212.76,3.659154627952822e-40,0.09075000882148743,0.0,28.057659149169922,0
212.86,3.66081937052844e-40,0.10475000739097595,0.0,28.057289123535156,0
212.96,3.6625345598487734e-40,0.1362999975681305,0.0,28.056884765625,0
213.06,3.664249749169107e-40,0.14515000581741333,0.0,28.056467056274414,0
213.16,3.6659144917447247e-40,0.1554500162601471,0.0,28.056060791015625,0
213.26,3.6676296810650586e-40,0.20945000648498535,0.0,28.055627822875977,0
213.36,3.6692944236406763e-40,0.2578999996185303,0.0,28.05513572692871,0
213.46,3.670959166216294e-40,0.2695000171661377,0.0,28.054624557495117,0
213.56,3.672674355536628e-40,0.29739999771118164,0.0,28.054075241088867,0
213.67,3.674339098112246e-40,0.3598499894142151,0.0,28.05347442626953,0
213.77,3.676054287432579e-40,0.3652999997138977,0.0,28.052806854248047,0
213.87,3.677769476752913e-40,0.3709000051021576,0.0,28.052139282226562,0
213.97,3.679434219328531e-40,0.38534998893737793,0.0,28.051475524902344,0
214.07,3.681149408648865e-40,0.39410001039505005,0.0,28.05077362060547,0
214.17,3.682814151224482e-40,0.4050999879837036,0.0,28.050081253051758,0
214.27,3.6845293405448154e-40,0.46184998750686646,0.0,28.049327850341797,0
214.37,3.686194083120434e-40,0.5669500231742859,0.0,28.048490524291992,0
214.47,3.687909272440767e-40,0.6184499859809875,0.0,28.047561645507812,0
214.57,3.689574015016385e-40,0.7193499803543091,0.0,28.046607971191406,0
214.67,3.691289204336719e-40,0.7751500010490417,0.0,28.045530319213867,0
214.77,3.6929539469123364e-40,0.7989000082015991,0.0,28.044445037841797,0
214.87,3.69466913623267e-40,0.8636000156402588,0.0,28.043336868286133,0
214.97,3.696333878808288e-40,0.9218000173568726,0.0,28.042259216308594,0
215.07,3.698049068128622e-40,0.9887000322341919,0.0,28.041099548339844,0
215.17,3.69971381070424e-40,1.0,0.0,28.040002822875977,0
215.27,3.701429000024573e-40,1.0,0.0,28.038808822631836,0
215.37,3.703093742600191e-40,1.0,0.0,28.037551879882812,0
215.48,3.704808931920524e-40,1.0,0.0,28.036046981811523,0
215.58,3.706473674496142e-40,1.0,0.0,28.034587860107422,0
215.68,3.708188863816476e-40,1.0,0.0,28.033069610595703,0
215.78,3.709853606392094e-40,1.0,0.0,28.031572341918945,0
215.88,3.711568795712428e-40,1.0,0.0,28.029998779296875,0
215.98,3.713233538288045e-40,1.0,0.0,28.028440475463867,0
216.08,3.714948727608379e-40,1.0,0.0,28.02680206298828,0
216.18,3.716613470183997e-40,1.0,0.0,28.025182723999023,0
216.28,3.71832865950433e-40,1.0,0.0,28.023483276367188,0
216.38,3.7199934020799486e-40,1.0,0.0,28.021808624267578,0
216.48,3.721708591400282e-40,1.0,0.0,28.020061492919922,0
216.58,3.723373333975899e-40,1.0,0.0,28.018341064453125,0
216.68,3.725088523296233e-40,1.0,0.0,28.01654052734375,0
